tide,behavior,dive_time_obs,tidal_height,latitude,longitude,meters_offshore,location,general_tide
high_ebb,diving,50,3.24,44.3959000413207,-68.21956319868585,15,coa_pier,high
high_ebb,diving,49,3.24,44.3959000413207,-68.21956319868585,15,coa_pier,high
high_ebb,diving,40,3.24,44.3959000413207,-68.21956319868585,15,coa_pier,high
high_ebb,diving,50,3.24,44.3959000413207,-68.21956319868585,15,coa_pier,high
high_ebb,diving,45,3.24,44.3959000413207,-68.21956319868585,15,coa_pier,high
high_ebb,diving,24,3.24,44.3959000413207,-68.21956319868585,15,coa_pier,high
mid_ebb,diving,24,1.23,44.3961793648511,-68.22033514351114,10,coa_pier,mid
mid_ebb,diving,33,1.23,44.3961793648511,-68.22033514351114,10,coa_pier,mid
mid_ebb,diving,12,1.23,44.395744084718,-68.21958161033926,10,coa_pier,mid
mid_ebb,diving,9,1.23,44.395744084718,-68.21958161033926,10,coa_pier,mid
mid_ebb,diving,19,1.23,44.395744084718,-68.21958161033926,10,coa_pier,mid
mid_ebb,diving,41,1.23,44.395744084718,-68.21958161033926,10,coa_pier,mid
high_ebb,diving,46,3.71,44.3998826484912,-68.22571445702246,30,sonogee,high
high_ebb,diving,42,3.71,44.4022238845891,-68.22971830846558,20,sonogee,high
high_ebb,diving,48,3.71,44.4022238845891,-68.22971830846558,20,sonogee,high
high_ebb,diving,40,3.71,44.4022238845891,-68.22971830846558,20,sonogee,high
high_ebb,diving,47,3.71,44.4022238845891,-68.22971830846558,20,sonogee,high
high_ebb,diving,48,3.71,44.4022238845891,-68.22971830846558,20,sonogee,high
high_ebb,diving,51,3.71,44.4022238845891,-68.22971830846558,20,sonogee,high
high_ebb,diving,40,3.21,44.3921923659265,-68.21305392768562,30,coa_pier,high
high_ebb,diving,41,3.21,44.3921923659265,-68.21305392768562,30,coa_pier,high
high_ebb,diving,31,3.21,44.3925495721947,-68.21451194837864,30,coa_pier,high
high_ebb,diving,24,3.21,44.3925495721947,-68.21451194837864,30,coa_pier,high
high_ebb,diving,39,3.21,44.3925495721947,-68.21451194837864,30,coa_pier,high
high_ebb,diving,30,3.21,44.3930159215294,-68.21185973988754,30,coa_pier,high
high_ebb,diving,31,3.21,44.3930159215294,-68.21185973988754,30,coa_pier,high
high_ebb,diving,32,3.21,44.3930159215294,-68.21185973988754,30,coa_pier,high
high_ebb,diving,35,3.21,44.3930159215294,-68.21185973988754,30,coa_pier,high
high_ebb,diving,34,3.21,44.3930159215294,-68.21185973988754,30,coa_pier,high
low_flood,diving,29,0.34,44.3965524746655,-68.22058328954908,10,coa_pier,low
low_flood,diving,47,0.34,44.3974991443339,-68.22196388191,15,coa_pier,low
low_flood,diving,34,0.34,44.3974991443339,-68.22196388191,15,coa_pier,low
low_flood,diving,32,0.34,44.3974991443339,-68.22196388191,15,coa_pier,low
low_flood,diving,41,0.34,44.3974991443339,-68.22196388191,15,coa_pier,low
low_flood,diving,41,0.34,44.3974991443339,-68.22196388191,15,coa_pier,low
low_flood,diving,38,0.34,44.3974991443339,-68.22196388191,15,coa_pier,low
low_slack,diving,63,0.22,44.3999099,-68.2151048,100,coa_pier,low
low_slack,diving,78,0.22,44.3999099,-68.2151048,100,coa_pier,low
low_ebb,diving,21,1,44.4175284741582,-68.24813556248681,60,hulls_cove,low_ebb
low_ebb,diving,19,1,44.4175284741582,-68.24813556248681,60,hulls_cove,low_ebb
low_ebb,diving,38,1,44.4175284741582,-68.24813556248681,60,hulls_cove,low_ebb
low_ebb,diving,27,1,44.4175284741582,-68.24813556248681,60,hulls_cove,low_ebb
low_ebb,diving,21,1,44.4175284741582,-68.24813556248681,60,hulls_cove,low_ebb
low_ebb,diving,41,1,44.4175284741582,-68.24813556248681,60,hulls_cove,low_ebb
low_ebb,diving,24,1,44.4176839891834,-68.24848195048743,50,hulls_cove,low_ebb
low_ebb,diving,15,1,44.4176839891834,-68.24848195048743,50,hulls_cove,low_ebb
low_ebb,diving,29,1,44.4176839891834,-68.24848195048743,50,hulls_cove,low_ebb
low_ebb,diving,19,1,44.4176839891834,-68.24848195048743,50,hulls_cove,low_ebb
low_ebb,diving,48,1,44.4176839891834,-68.24848195048743,50,hulls_cove,low_ebb
low_ebb,diving,25,1,44.4176839891834,-68.24848195048743,50,hulls_cove,low_ebb
low_ebb,diving,56,1,44.4176839891834,-68.24848195048743,50,hulls_cove,low_ebb
mid_ebb,diving,27,1.53,44.4177523863094,-68.24841203798339,50,hulls_cove,mid
mid_ebb,diving,25,1.53,44.4177523863094,-68.24841203798339,50,hulls_cove,mid
mid_ebb,diving,23,1.53,44.4177523863094,-68.24841203798339,50,hulls_cove,mid
mid_ebb,diving,35,1.53,44.4177523863094,-68.24841203798339,50,hulls_cove,mid
mid_ebb,diving,34,1.53,44.4177523863094,-68.24841203798339,50,hulls_cove,mid
mid_ebb,diving,30,1.53,44.416981606459,-68.24761976545211,100,hulls_cove,mid
mid_ebb,diving,35,1.53,44.416981606459,-68.24761976545211,100,hulls_cove,mid
mid_ebb,diving,31,1.53,44.416981606459,-68.24761976545211,100,hulls_cove,mid
mid_ebb,diving,36,1.53,44.416981606459,-68.24761976545211,100,hulls_cove,mid
mid_ebb,diving,28,1.53,44.4151639703025,-68.24857695112806,150,hulls_cove,mid
mid_ebb,diving,26,1.53,44.4151639703025,-68.24857695112806,150,hulls_cove,mid
mid_ebb,diving,35,1.53,44.4151639703025,-68.24857695112806,150,hulls_cove,mid
mid_ebb,diving,40,1.53,44.4151639703025,-68.24857695112806,150,hulls_cove,mid
mid_flood,diving,15,1.71,44.4175313788404,-68.24818173423142,100,hulls_cove,mid
mid_flood,diving,20,1.71,44.4175313788404,-68.24818173423142,100,hulls_cove,mid
mid_flood,diving,13,1.71,44.4175313788404,-68.24818173423142,100,hulls_cove,mid
mid_flood,diving,12,1.71,44.4175313788404,-68.24818173423142,100,hulls_cove,mid
mid_flood,diving,18,1.71,44.415542008193,-68.24777414727583,200,hulls_cove,mid
mid_flood,diving,21,1.71,44.415542008193,-68.24777414727583,200,hulls_cove,mid
mid_flood,diving,14,1.71,44.415542008193,-68.24777414727583,200,hulls_cove,mid
mid_flood,diving,22,1.71,44.415542008193,-68.24777414727583,200,hulls_cove,mid
mid_flood,diving,20,1.71,44.418538952997,-68.2457890290726,100,hulls_cove,mid
mid_flood,diving,17,1.71,44.418538952997,-68.2457890290726,100,hulls_cove,mid
mid_flood,diving,25,1.71,44.418538952997,-68.2457890290726,100,hulls_cove,mid
mid_flood,diving,30,1.71,44.418538952997,-68.2457890290726,100,hulls_cove,mid
mid_flood,diving,21,1.71,44.4181350585097,-68.24607176986984,100,hulls_cove,mid
mid_flood,diving,20,1.71,44.4181350585097,-68.24607176986984,100,hulls_cove,mid
mid_flood,diving,19,1.71,44.4181350585097,-68.24607176986984,100,hulls_cove,mid
mid_flood,diving,15,1.71,44.4181350585097,-68.24607176986984,100,hulls_cove,mid
mid_flood,diving,15,1.71,44.4181350585097,-68.24607176986984,100,hulls_cove,mid
mid_ebb,diving,20,1.88,44.4165349875452,-68.2478987104059,150,hulls_cove,mid
mid_ebb,diving,25,1.88,44.4165349875452,-68.2478987104059,150,hulls_cove,mid
mid_ebb,diving,45,1.88,44.4165349875452,-68.2478987104059,150,hulls_cove,mid
mid_ebb,diving,50,1.88,44.4165349875452,-68.2478987104059,150,hulls_cove,mid
mid_ebb,diving,21,1.88,44.4170942406266,-68.2479639582822,150,hulls_cove,mid
mid_ebb,diving,36,1.88,44.4170942406266,-68.2479639582822,150,hulls_cove,mid
mid_ebb,diving,46,1.88,44.4170942406266,-68.2479639582822,150,hulls_cove,mid
mid_ebb,diving,55,1.88,44.4170942406266,-68.2479639582822,150,hulls_cove,mid
low_flood,diving,52,1.86,44.392219,-68.204936,35,bar_harbor_pier,low
low_flood,diving,65,1.86,44.392219,-68.204936,35,bar_harbor_pier,low
low_flood,diving,73,1.86,44.392219,-68.204936,35,bar_harbor_pier,low
mid_flood,diving,53,1.6,44.3934085,-68.204452,20,bar_harbor_pier,mid
mid_flood,diving,51,1.6,44.395674,-68.201843,45,bar_harbor_pier,mid
low_slack,diving,51,0,44.394715,-68.212644,12,bar_harbor_bar,low
low_slack,diving,35,0,44.394715,-68.212644,12,bar_harbor_bar,low
low_slack,diving,29,0,44.394715,-68.212644,12,bar_harbor_bar,low
low_slack,diving,27,0,44.394715,-68.212644,12,bar_harbor_bar,low
low_slack,diving,59,-0.01,44.39273779,-68.20462882,55,bar_harbor_pier,low
low_slack,diving,76,-0.01,44.39273779,-68.20462882,55,bar_harbor_pier,low
low_slack,diving,77,-0.01,44.39273779,-68.20462882,55,bar_harbor_pier,low
low_slack,diving,50,-0.01,44.39218461,-68.20310868,15,bar_harbor_pier,low
low_slack,diving,35,-0.01,44.39114865,-68.2029257,2,bar_harbor_pier,low
