OBJECTID,tide,behavior,dive_time_obs,tidal_height,latitude,longitude,general_tide,RASTERVALU,RASTERVALU
77,mid_ebb,diving,41,4,44.395744084718,-68.2195816103393,mid,-2.19,
78,low_slack,diving,63,0.22,44.3999099,-68.2151048,low,-15.13,
79,low_slack,diving,78,0.22,44.3999099,-68.2151048,low,-15.13,
80,low_flood,diving,52,NA,44.392219,-68.204936,low,-4.27,
81,low_flood,diving,65,NA,44.392219,-68.204936,low,-4.27,
82,low_flood,diving,73,NA,44.392219,-68.204936,low,-4.27,
83,mid_flood,diving,53,2.2,44.3934085,-68.204452,mid,-5.17,
84,mid_flood,diving,51,2.2,44.395674,-68.201843,mid,-6.29,
85,low_slack,diving,51,0,44.394715,-68.212644,low,-3.18,
86,low_slack,diving,35,0,44.394715,-68.212644,low,-3.18,
87,low_slack,diving,29,0,44.394715,-68.212644,low,-3.18,
88,low_slack,diving,27,0,44.394715,-68.212644,low,-3.18,
89,low_slack,diving,59,0,44.39273779,-68.20462882,low,-4.64,
90,low_slack,diving,76,0,44.39273779,-68.20462882,low,-4.64,
91,low_slack,diving,77,0,44.39273779,-68.20462882,low,-4.64,
92,low_slack,diving,50,0,44.39218461,-68.20310868,low,-6.43,
93,low_slack,diving,35,0,44.39114865,-68.2029257,low,-1.5,
